Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
7/25/2021,Rick Allen,United Kingdom,Avalanche,35°52′57″N 76°30′48″E,2
2/5/2021,Ali Sadpara,Pakistan,Frozen to death,35°52′57″N 76°30′48″E,2
2/5/2021,Juan Pablo Mohr Prieto,Chile,Frozen to death,35°52′57″N 76°30′48″E,2
2/5/2021,John Snorri Sigurjónsson,Iceland,Frozen to death,35°52′57″N 76°30′48″E,2
2/5/2021,Atanas Skatov,Bulgaria,Fall on descent,35°52′57″N 76°30′48″E,2
1/16/2021,Sergi Mingote,Spain,Fall on descent,35°52′57″N 76°30′48″E,2
7/22/2018,Kojiro Watanabe,Japan,Fall on descent,35°52′57″N 76°30′48″E,2
7/7/2018,Serge Dessureault,Canada,Fall,35°52′57″N 76°30′48″E,2
7/30/2014,Miguel Ángel Pérez,Spain,Altitude sickness,35°52′57″N 76°30′48″E,2
7/26/2013,Marty Schmidt,New Zealand,Avalanche,35°52′57″N 76°30′48″E,2
7/26/2013,Denali Schmidt,New Zealand,Avalanche,35°52′57″N 76°30′48″E,2
2/6/2012,Vitaliy Gorelik,Russia,Frostbite,35°52′57″N 76°30′48″E,2
8/6/2010,Fredrik Ericsson,Sweden,Fall from bottle neck,35°52′57″N 76°30′48″E,2
7/17/2010,Petar Georgiev Unzhiev,Bulgaria,Altitude sickness,35°52′57″N 76°30′48″E,2
6/23/2009,Michele Fait,Italy,Fall with skis,35°52′57″N 76°30′48″E,2
8/2/2008,Hwang Dong-jin,South Korea,Serac Fall,35°52′57″N 76°30′48″E,2
8/2/2008,Park Kyeong-hyo,South Korea,Serac Fall,35°52′57″N 76°30′48″E,2
8/2/2008,Kim Hyo-gyung,South Korea,Serac Fall,35°52′57″N 76°30′48″E,2
8/2/2008,Meherban Karim,Pakistan,Serac Fall,35°52′57″N 76°30′48″E,2
8/2/2008,Hugues d'Aubarede,France,Fall on descent,35°52′57″N 76°30′48″E,2
8/2/2008,Gerard McDonnell,Ireland,Serac Fall,35°52′57″N 76°30′48″E,2
8/2/2008,Pasang Bhote,Nepal,Serac Fall,35°52′57″N 76°30′48″E,2
8/2/2008,Jumic Bhote,Nepal,Serac Fall,35°52′57″N 76°30′48″E,2
8/2/2008,Rolf Bae,Norway,Serac Fall,35°52′57″N 76°30′48″E,2
8/2/2008,Jahan Baig,Pakistan,Fall,35°52′57″N 76°30′48″E,2
8/2/2008,Dren Mandić,Serbia,Fall,35°52′57″N 76°30′48″E,2
7/20/2007,Stefano Zavka,Italy,Disappeared,35°52′57″N 76°30′48″E,2
7/20/2007,Nima Nurbu,Nepal,Fall,35°52′57″N 76°30′48″E,2
8/13/2006,Arkadi Kuvakin,Russia,Avalanche,35°52′57″N 76°30′48″E,2
8/13/2006,Aleksandr Foigt,Russia,Avalanche,35°52′57″N 76°30′48″E,2
8/13/2006,Piotr Kuznetsov,Russia,Avalanche,35°52′57″N 76°30′48″E,2
8/13/2006,Yuri Uteshev,Russia,Avalanche,35°52′57″N 76°30′48″E,2
8/19/2004,Manel de la Mata,Spain,Pulmonary edema,35°52′57″N 76°30′48″E,2
8/2/2004,Dauoud Khadem Asl,Iran,Disappeared,35°52′57″N 76°30′48″E,2
8/2/2004,Sergei Sokolov,Russia,Disappeared,35°52′57″N 76°30′48″E,2
7/28/2004,Aleksandr Gubaev,Kyrgyzstan,Fall,35°52′57″N 76°30′48″E,2
6/8/2004,Pae Kyong-kyu,South Korea,Avalanche,35°52′57″N 76°30′48″E,2
6/8/2004,Kim Jae-koung,South Korea,Avalanche,35°52′57″N 76°30′48″E,2
6/8/2004,Lee Hwa-hyeung,South Korea,Avalanche,35°52′57″N 76°30′48″E,2
7/21/2003,Klaus-Dieter Grohs,Germany,Fall,35°52′57″N 76°30′48″E,2
7/22/2002,Muhammad Iqbal,Pakistan,Fall,35°52′57″N 76°30′48″E,2
7/13/2002,Sher Ajman,Pakistan,Avalanche,35°52′57″N 76°30′48″E,2
7/2/2001,Park Young-do,South Korea,Fall,35°52′57″N 76°30′48″E,2
7/10/1999,Mihai Cioroianu,Romania,Hit by rock,35°52′57″N 76°30′48″E,2
8/14/1996,Igor Benkin,Russia,Exhaustion,35°52′57″N 76°30′48″E,2
7/29/1996,Lorenzo Mazzoleni,Italy,Fall,35°52′57″N 76°30′48″E,2
8/15/1995,Jeff Lakes,Canada,Exhaustion,35°52′57″N 76°30′48″E,2
8/13/1995,Bruce Grant,New Zealand,Killed in a storm,35°52′57″N 76°30′48″E,2
8/13/1995,Rob Slater,USA,Killed in a storm,35°52′57″N 76°30′48″E,2
8/13/1995,Alison Hargreaves,United Kingdom,Killed in a storm,35°52′57″N 76°30′48″E,2
8/13/1995,Javier Escartin,Spain,Killed in a storm,35°52′57″N 76°30′48″E,2
8/13/1995,Javier Olivar,Spain,Killed in a storm,35°52′57″N 76°30′48″E,2
8/13/1995,Lorenzo Ortiz,Spain,Killed in a storm,35°52′57″N 76°30′48″E,2
7/6/1995,Jordi Anglès,Spain,Fall,35°52′57″N 76°30′48″E,2
8/11/1994,"Juan Antonio ""Atxo"" Apellániz",Spain,HACE,35°52′57″N 76°30′48″E,2
7/24/1994,Steve Untch,USA,Fall,35°52′57″N 76°30′48″E,2
7/10/1994,Dmitri Ibragim-Zade,Ukraine,Killed in a storm,35°52′57″N 76°30′48″E,2
7/10/1994,Aleksandr Parkhomenko,Ukraine,Killed in a storm,35°52′57″N 76°30′48″E,2
7/10/1994,Aleksei Kharaldin,Ukraine,Killed in a storm,35°52′57″N 76°30′48″E,2
7/31/1993,Daniel Bidner,Sweden,Altitude sickness,35°52′57″N 76°30′48″E,2
7/30/1993,Reinmar Joswig,Germany,Fall,35°52′57″N 76°30′48″E,2
7/30/1993,Peter Mezger,Germany,Fall,35°52′57″N 76°30′48″E,2
7/7/1993,Dan Culver,Canada,Fall,35°52′57″N 76°30′48″E,2
6/15/1993,Boštjan Kekec,Slovenia,Altitude sickness,35°52′57″N 76°30′48″E,2
8/14/1992,Adrián Benítez,Mexico,Fall,35°52′57″N 76°30′48″E,2
7/28/1989,Hans Bärnthaler,Austria,Avalanche,35°52′57″N 76°30′48″E,2
8/24/1987,Akira Suzuki,Japan,Fall,35°52′57″N 76°30′48″E,2
8/10/1986,Dobrosława Miodowicz-Wolf,Poland,Exhaustion,35°52′57″N 76°30′48″E,2
8/10/1986,Alfred Imitzer,Austria,Altitude sickness,35°52′57″N 76°30′48″E,2
8/10/1986,Hannes Wieser,Austria,Altitude sickness,35°52′57″N 76°30′48″E,2
8/10/1986,Alan Rouse,United Kingdom,Altitude sickness,35°52′57″N 76°30′48″E,2
8/7/1986,Julie Tullis,United Kingdom,Altitude sickness,35°52′57″N 76°30′48″E,2
8/4/1986,Mohammad Ali,Pakistan,Hit by rock,35°52′57″N 76°30′48″E,2
8/3/1986,Wojciech Wróż,Poland,Fall,35°52′57″N 76°30′48″E,2
7/16/1986,Renato Casarotto,Italy,Fall into crevasse,35°52′57″N 76°30′48″E,2
7/10/1986,Tadeusz Piotrowski,Poland,Fall,35°52′57″N 76°30′48″E,2
6/24/1986,Maurice Barrard,France,Disappeared,35°52′57″N 76°30′48″E,2
6/24/1986,Liliane Barrard,France,Disappeared,35°52′57″N 76°30′48″E,2
6/21/1986,John Smolich,USA,Avalanche,35°52′57″N 76°30′48″E,2
6/21/1986,Alan Pennington,USA,Avalanche,35°52′57″N 76°30′48″E,2
7/7/1985,Daniel Lacroix,France,Disappeared,35°52′57″N 76°30′48″E,2
8/15/1982,Yukihiro Yanagisawa,Japan,Fall,35°52′57″N 76°30′48″E,2
7/30/1982,Halina Krüger-Syrokomska,Poland,Stroke,35°52′57″N 76°30′48″E,2
8/19/1979,Laskhar Khan,Pakistan,Stroke,35°52′57″N 76°30′48″E,2
6/9/1979,"Ali, Son of Kazim",Pakistan,Fall into crevasse,35°52′57″N 76°30′48″E,2
6/12/1978,Nick Estcourt,United Kingdom,Avalanche,35°52′57″N 76°30′48″E,2
6/21/1954,Mario Puchoz,Italy,Pneumonia,35°52′57″N 76°30′48″E,2
8/10/1953,Art Gilkey,USA,Avalanche,35°52′57″N 76°30′48″E,2
7/31/1939,Pasang Kikuli,Nepal,Disappeared,35°52′57″N 76°30′48″E,2
7/31/1939,Pasang Kitar,Nepal,Disappeared,35°52′57″N 76°30′48″E,2
7/31/1939,Pintso,Nepal,Disappeared,35°52′57″N 76°30′48″E,2
7/30/1939,Dudley Wolfe,USA,Altitude sickness,35°52′57″N 76°30′48″E,2
