Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
5/3/2019,Wui Kin Chin,Malaysia,Hypothermia,"28.6136° N, 83.8736° E",10
3/24/2015,Samuli Mansikka,Finland,Fall,"28.6136° N, 83.8736° E",10
3/24/2015,Pemba Sherpa,Nepal,Fall,"28.6136° N, 83.8736° E",10
10/7/2012,Ivan Lobanov,Uzbekistan,Avalanche,"28.6136° N, 83.8736° E",10
10/7/2012,Iljas Tukhvatullin,Uzbekistan,Avalanche,"28.6136° N, 83.8736° E",10
5/5/2012,Tibor Horváth,Hungary,Avalanche,"28.6136° N, 83.8736° E",10
10/18/2011,Young-seok Park,South Korea,Unknown,"28.6136° N, 83.8736° E",10
10/18/2011,Dong-min Shin,South Korea,Unknown,"28.6136° N, 83.8736° E",10
10/18/2011,Ki-seok Kang,South Korea,Unknown,"28.6136° N, 83.8736° E",10
4/29/2010,Tolo Calafat,Spain,Unknown,"28.6136° N, 83.8736° E",10
4/1/2009,Martin Minařík,Czech Republic,Fell into Crevasse,"28.6136° N, 83.8736° E",10
5/23/2008,Iñaki Ochoa de Olza,Spain,HACE,"28.6136° N, 83.8736° E",10
4/22/2007,Udhav Prasad Khanal,Nepal,Unknown,"28.6136° N, 83.8736° E",10
10/22/2006,Lhakpa Rita II,Nepal,Avalanche,"28.6136° N, 83.8736° E",10
5/18/2005,Christian Kuntner,Italy,Avalanche,"28.6136° N, 83.8736° E",10
10/10/2004,Hideji Nazuka,Japan,Avalanche,"28.6136° N, 83.8736° E",10
10/10/2004,Michio Sato,Japan,Avalanche,"28.6136° N, 83.8736° E",10
4/29/1999,Hyun-ok Ji,South Korea,Unknown,"28.6136° N, 83.8736° E",10
4/29/1999,Dorje Kami,Nepal,Unknown,"28.6136° N, 83.8736° E",10
4/26/1998,Ang Tshering,Nepal,Avalanche,"28.6136° N, 83.8736° E",10
12/25/1997,Anatoli Boukreev,Kazakhstan,Avalanche,"28.6136° N, 83.8736° E",10
12/25/1997,Dmitri Sobolev,Kazakhstan,Avalanche,"28.6136° N, 83.8736° E",10
3/23/1997,Ngati,Nepal,Fall,"28.6136° N, 83.8736° E",10
10/11/1992,Pierre Béghin,France,Fall,"28.6136° N, 83.8736° E",10
10/20/1991,Gabriel Denamur,Belgium,Unknown,"28.6136° N, 83.8736° E",10
9/19/1991,Seog-jee Lee,South Korea,Avalanche,"28.6136° N, 83.8736° E",10
9/19/1991,Song-gu Lee,South Korea,Avalanche,"28.6136° N, 83.8736° E",10
9/19/1991,Sange Dawa,Nepal,Avalanche,"28.6136° N, 83.8736° E",10
9/19/1991,Tendi Lhakpa,Nepal,Avalanche,"28.6136° N, 83.8736° E",10
9/19/1991,Jangbu Nurbu,Nepal,Avalanche,"28.6136° N, 83.8736° E",10
9/19/1991,Tenzing,Nepal,Avalanche,"28.6136° N, 83.8736° E",10
10/28/1989,Milan Metkov,Bulgaria,Unknown,"28.6136° N, 83.8736° E",10
10/28/1989,Ognian Stoykov,Bulgaria,Unknown,"28.6136° N, 83.8736° E",10
10/18/1988,Ramiro Navarrete,Ecuador,Fall,"28.6136° N, 83.8736° E",10
10/1/1988,Jiri Pelikan,Czechoslovakia,Fall on descent,"28.6136° N, 83.8736° E",10
9/29/1988,Akihiro Mori,Japan,Avalanche,"28.6136° N, 83.8736° E",10
9/29/1988,Ang Dawa,Japan,Avalanche,"28.6136° N, 83.8736° E",10
12/20/1987,Toshiyuki Kobayashi,Japan,Fall,"28.6136° N, 83.8736° E",10
12/20/1987,Yasuhira Saito,Japan,Fall,"28.6136° N, 83.8736° E",10
5/24/1987,Andres Ferrer,Spain,Fall,"28.6136° N, 83.8736° E",10
9/23/1986,Benoit Grison,France,Fall,"28.6136° N, 83.8736° E",10
12/7/1984,Pasang Norbu,Nepal,Unknown,"28.6136° N, 83.8736° E",10
12/7/1984,Keepa,Nepal,Unknown,"28.6136° N, 83.8736° E",10
4/21/1984,Philippe Dumas,France,Avalanche,"28.6136° N, 83.8736° E",10
4/21/1984,Patrick Taglianut,France,Avalanche,"28.6136° N, 83.8736° E",10
9/24/1983,Yang-kun Chung,South Korea,Avalanche,"28.6136° N, 83.8736° E",10
9/24/1983,Magar Maila,Nepal,Avalanche,"28.6136° N, 83.8736° E",10
9/24/1983,Rama Magar Tika,Nepal,Avalanche,"28.6136° N, 83.8736° E",10
10/18/1982,Susumu Akimatsu,Japan,Avalanche,"28.6136° N, 83.8736° E",10
10/18/1982,Miko Ono,Japan,Avalanche,"28.6136° N, 83.8736° E",10
10/17/1982,Alex MacIntyre,United Kingdom,Rock fall,"28.6136° N, 83.8736° E",10
5/12/1982,Rai Shanti,Nepal,Fall,"28.6136° N, 83.8736° E",10
5/4/1982,Werner Bürkli,Switzerland,Heart attack,"28.6136° N, 83.8736° E",10
10/31/1981,Yasuji Kato,Japan,Fall,"28.6136° N, 83.8736° E",10
9/28/1981,Andre Durieux,France,Avalanche,"28.6136° N, 83.8736° E",10
9/28/1981,Yves Favre,France,Avalanche,"28.6136° N, 83.8736° E",10
9/27/1981,Ang Nima,Nepal,Avalanche,"28.6136° N, 83.8736° E",10
9/27/1981,Pemba Tshering,Nepal,Avalanche,"28.6136° N, 83.8736° E",10
9/19/1979,Eric Roberts,United Kingdom,Avalanche,"28.6136° N, 83.8736° E",10
9/19/1979,Maynard Cohick,United States,Avalanche,"28.6136° N, 83.8736° E",10
9/19/1979,Gil Harder,United States,Avalanche,"28.6136° N, 83.8736° E",10
5/1/1979,Yves Morin,France,Exhaustion,"28.6136° N, 83.8736° E",10
10/17/1978,Alison Chadwick-Onyszkiewicz,United Kingdom,Fall,"28.6136° N, 83.8736° E",10
10/17/1978,Vera Watson,United States,Fall,"28.6136° N, 83.8736° E",10
4/16/1975,Franz Tegischer,Austria,Avalanche,"28.6136° N, 83.8736° E",10
9/26/1973,Leo Cerruti,Italy,Avalanche,"28.6136° N, 83.8736° E",10
9/26/1973,Miller Rava,Italy,Avalanche,"28.6136° N, 83.8736° E",10
5/18/1973,Tadashi Ushigoe,Japan,Avalanche,"28.6136° N, 83.8736° E",10
5/18/1973,Sadatoshi Takahashi,Japan,Avalanche,"28.6136° N, 83.8736° E",10
5/18/1973,Masanori Hama,Japan,Avalanche,"28.6136° N, 83.8736° E",10
5/18/1973,Kazumi Katagiri,Japan,Avalanche,"28.6136° N, 83.8736° E",10
5/18/1973,Rinje,Nepal,Avalanche,"28.6136° N, 83.8736° E",10
5/30/1970,Ian Clough,United Kingdom,Serac fall,"28.6136° N, 83.8736° E",10
